Origin_airport,Destination_airport,Origin_city,Destination_city,Passengers,Seats,Flights,Distance,Fly_date,Origin_population,Destination_population,Org_airport_lat,Org_airport_long,Dest_airport_lat,Dest_airport_long
PVD,EWR,"Providence, RI","Newark, NJ",2082,3942,38,160,1992-02-01,1507673,16930924,41.7326011657715,-71.4204025268555,40.6925010681152,-74.168701171875
LCH,BPT,"Lake Charles, LA","Beaumont, TX",27,34,1,49,2000-04-01,193463,384688,30.1261005401611,-93.2232971191406,29.9507999420166,-94.0206985473633
ELP,PHX,"El Paso, TX","Phoenix, AZ",1247,2480,20,347,2009-02-01,751296,4364094,31.80719948,-106.3779984,33.4342994689941,-112.012001037598
RDU,ORD,"Raleigh, NC","Chicago, IL",41,108,1,647,1996-04-01,674409,17287860,35.8776016235352,-78.7874984741211,41.97859955,-87.90480042
ORD,ELP,"Chicago, IL","El Paso, TX",5756,8615,62,1236,1996-03-01,17287860,674005,41.97859955,-87.90480042,31.80719948,-106.3779984
BUF,FNT,"Buffalo, NY","Flint, MI",34,34,1,254,2002-08-01,1158368,438775,42.94049835,-78.73220062,42.9654006958008,-83.7435989379883
STL,BWI,"St. Louis, MO","Baltimore, MD",6747,8568,63,737,2005-08-01,2773155,2649586,38.7486991882324,-90.370002746582,39.17539978,-76.66829681
DTW,BOS,"Detroit, MI","Boston, MA",381,620,5,632,2006-02-01,8969084,8946954,42.2123985290527,-83.353401184082,42.36429977,-71.00520325
STL,BNA,"St. Louis, MO","Nashville, TN",509,870,29,271,2003-11-01,2743862,1386743,38.7486991882324,-90.370002746582,36.1245002746582,-86.6781997680664
SJC,MSP,"San Jose, CA","Minneapolis, MN",5270,9132,61,1576,1994-01-01,1590788,2690359,37.3625984191895,-121.929000854492,44.8819999695,-93.2218017578
ALB,DTW,"Albany, NY","Detroit, MI",79,148,1,488,2004-11-01,843928,8996622,42.7482986450195,-73.8016967773438,42.2123985290527,-83.353401184082
SEA,IAH,"Seattle, WA","Houston, TX",8289,10661,60,1874,2003-03-01,6277876,5084017,47.4490013122559,-122.30899810791,29.9843997955322,-95.3414001464844
XNA,ORD,"Fayetteville, AR","Chicago, IL",4223,8439,97,522,2004-03-01,397168,18664180,36.281898,-94.306801,41.97859955,-87.90480042
LIT,DFW,"Little Rock, AR","Dallas, TX",117,298,2,304,1995-06-01,564592,8787062,34.7294006348,-92.2242965698,32.896800994873,-97.0380020141602
PIT,FLL,"Pittsburgh, PA","Fort Lauderdale, FL",128,144,1,994,2000-12-01,2429023,5025806,40.49150085,-80.23290253,26.0725994110107,-80.152702331543
LAX,SFO,"Los Angeles, CA","San Francisco, CA",4891,6960,58,337,2004-05-01,25529180,8287044,33.94250107,-118.4079971,37.6189994812012,-122.375
LGA,BWI,"New York, NY","Baltimore, MD",110,118,1,185,2001-05-01,36980058,2577904,40.77719879,-73.87259674,39.17539978,-76.66829681
TUS,IAH,"Tucson, AZ","Houston, TX",5120,6144,48,936,1997-10-01,778684,4351339,32.1161003112793,-110.94100189209,29.9843997955322,-95.3414001464844
BNA,DTW,"Nashville, TN","Detroit, MI",3432,5480,40,457,2008-07-01,1556368,8847562,36.1245002746582,-86.6781997680664,42.2123985290527,-83.353401184082
ROC,ORD,"Rochester, NY","Chicago, IL",4930,5584,45,528,2009-08-01,1035566,19161134,43.1189002990723,-77.6724014282227,41.97859955,-87.90480042
LAN,DTW,"Lansing, MI","Detroit, MI",3923,7250,58,74,2001-04-01,450807,8958464,42.7787017822266,-84.58740234375,42.2123985290527,-83.353401184082
CVG,GRR,"Cincinnati, OH","Grand Rapids, MI",5116,7866,57,268,1994-01-01,1922360,683558,39.0488014221,-84.6678009033,42.88079834,-85.52279663
FLL,RIC,"Fort Lauderdale, FL","Richmond, VA",703,851,23,805,2005-02-01,5443159,1174017,26.0725994110107,-80.152702331543,37.505199432373,-77.3197021484375
CLL,DFW,"College Station, TX","Dallas, TX",11,30,1,164,1994-10-01,160451,8613622,30.58860016,-96.36380005,32.896800994873,-97.0380020141602
STL,CID,"St. Louis, MO","Cedar Rapids, IA",1000,2832,59,228,1993-05-01,2616153,218394,38.7486991882324,-90.370002746582,41.8847007751465,-91.7108001708984
JFK,MIA,"New York, NY","Miami, FL",118,118,1,1090,1997-08-01,34528632,9247394,40.63980103,-73.77890015,25.7931995391846,-80.2906036376953
STL,SEA,"St. Louis, MO","Seattle, WA",157,252,1,1710,1994-10-01,2624554,5485752,38.7486991882324,-90.370002746582,47.4490013122559,-122.30899810791
ORD,IAH,"Chicago, IL","Houston, TX",2260,4200,30,925,2009-09-01,19161134,5867489,41.97859955,-87.90480042,29.9843997955322,-95.3414001464844
DAY,ICT,"Dayton, OH","Wichita, KS",0,0,2,729,2003-08-01,845508,579800,39.902400970459,-84.2193984985352,37.6498985290527,-97.4330978393555
HOU,SAN,"Houston, TX","San Diego, CA",3166,4110,30,1312,2008-10-01,5726705,3019274,29.64539909,-95.27890015,32.7336006165,-117.190002441
MEM,ANC,"Memphis, TN","Anchorage, AK",0,0,39,3153,2003-02-01,1238075,339131,35.0424003601074,-89.9766998291016,61.1744003295898,-149.996002197266
MDT,DTW,"Harrisburg, PA","Detroit, MI",90,136,4,370,1998-03-01,499340,8944948,40.1935005188,-76.7633972168,42.2123985290527,-83.353401184082
BOS,JFK,"Boston, MA","New York, NY",1046,2610,87,187,1995-11-01,8357434,34261384,42.36429977,-71.00520325,40.63980103,-73.77890015
SNA,SJC,"Santa Ana, CA","San Jose, CA",13244,16470,135,342,2003-08-01,12717433,1723138,33.67570114,-117.8679962,37.3625984191895,-121.929000854492
LBF,GRI,"North Platte, NE","Grand Island, NE",0,0,4,125,2004-12-01,36083,68660,41.12620163,-100.6839981,40.9674987792969,-98.3096008300781
DCA,SPS,"Washington, DC","Wichita Falls, TX",59,72,1,1238,2006-07-01,10530024,149444,38.8521,-77.037697,33.98880005,-98.49189758
BNA,MSP,"Nashville, TN","Minneapolis, MN",966,3504,24,695,1992-03-01,1086033,2616238,36.1245002746582,-86.6781997680664,44.8819999695,-93.2218017578
CLE,MSY,"Cleveland, OH","New Orleans, LA",21,50,1,917,2007-09-01,2099185,1109415,41.4117012024,-81.8498001099,29.9934005737305,-90.2580032348633
EWR,RDU,"Newark, NJ","Raleigh, NC",5502,6450,129,416,2005-11-01,18798114,953157,40.6925010681152,-74.168701171875,35.8776016235352,-78.7874984741211
LAX,IAH,"Los Angeles, CA","Houston, TX",4243,5425,31,1379,2009-01-01,25749594,5867489,33.94250107,-118.4079971,29.9843997955322,-95.3414001464844
BFI,MEM,"Seattle, WA","Memphis, TN",37,59,1,1871,2005-12-01,6404776,1261429,47.5299987792969,-122.302001953125,35.0424003601074,-89.9766998291016
ATL,IND,"Atlanta, GA","Indianapolis, IN",17,148,1,432,1992-05-01,3245141,1337172,33.6366996765137,-84.4281005859375,39.7173,-86.294403
ORD,SFO,"Chicago, IL","San Francisco, CA",4894,10200,85,1846,2001-01-01,18385002,8359256,41.97859955,-87.90480042,37.6189994812012,-122.375
FLL,CLT,"Fort Lauderdale, FL","Charlotte, NC",10691,15106,83,632,2002-02-01,5212602,1406699,26.0725994110107,-80.152702331543,35.2140007019043,-80.9430999755859
TYS,CLT,"Knoxville, TN","Charlotte, NC",1436,2525,25,177,1996-03-01,593737,1164160,35.81100082,-83.9940033,35.2140007019043,-80.9430999755859
JFK,ORD,"New York, NY","Chicago, IL",257,480,3,740,2000-07-01,36705486,18235464,40.63980103,-73.77890015,41.97859955,-87.90480042
CMH,ATL,"Columbus, OH","Atlanta, GA",6,100,1,446,1999-01-01,1562409,3988728,39.9980010986328,-82.8918991088867,33.6366996765137,-84.4281005859375
LIT,ABQ,"Little Rock, AR","Albuquerque, NM",0,0,1,817,2001-07-01,617414,739531,34.7294006348,-92.2242965698,35.0401992797852,-106.609001159668
DFW,ATL,"Dallas, TX","Atlanta, GA",7500,9176,62,732,2007-01-01,12313304,5267527,32.896800994873,-97.0380020141602,33.6366996765137,-84.4281005859375
DCA,CLE,"Washington, DC","Cleveland, OH",618,1216,8,310,1991-05-01,8369110,2113056,38.8521,-77.037697,41.4117012024,-81.8498001099
GRK,DFW,"Killeen, TX","Dallas, TX",2251,2800,56,134,2008-01-01,379569,12602170,31.067199707,-97.8289031982,32.896800994873,-97.0380020141602
BHM,ATL,"Birmingham, AL","Atlanta, GA",225,428,4,134,1990-08-01,958585,3087755,33.56290054,-86.75350189,33.6366996765137,-84.4281005859375
MDT,LGA,"Harrisburg, PA","New York, NY",19,148,4,157,2004-01-01,517793,37494862,40.1935005188,-76.7633972168,40.77719879,-73.87259674
PHL,BTV,"Philadelphia, PA","Burlington, VT",412,568,4,336,2006-11-01,11761824,205515,39.871898651123,-75.241096496582,44.4719009399,-73.1532974243
ORD,DSM,"Chicago, IL","Des Moines, IA",634,1260,10,299,1996-03-01,17287860,452854,41.97859955,-87.90480042,41.5340003967285,-93.6631011962891
MCO,FLL,"Orlando, FL","Fort Lauderdale, FL",3042,7308,29,178,1994-11-01,1363774,4373451,28.4293994903564,-81.3089981079102,26.0725994110107,-80.152702331543
LAX,OAK,"Los Angeles, CA","Oakland, CA",0,0,15,337,2008-09-01,25536790,4260236,33.94250107,-118.4079971,37.7212982177734,-122.221000671387
TPA,PBI,"Tampa, FL","West Palm Beach, FL",45,142,1,174,1991-05-01,2098618,4156265,27.9755001068115,-82.533203125,26.6832008361816,-80.0955963134766
SYR,LGA,"Syracuse, NY","New York, NY",1524,3666,26,198,1992-09-01,668696,33861848,43.111198425293,-76.1063003540039,40.77719879,-73.87259674
MSP,DCA,"Minneapolis, MN","Washington, DC",1293,2500,25,931,2000-02-01,2981616,9642062,44.8819999695,-93.2218017578,38.8521,-77.037697
COS,MEM,"Colorado Springs, CO","Memphis, TN",0,0,21,855,2007-02-01,607267,1290610,38.805801391602,-104.70099639893,35.0424003601074,-89.9766998291016
MEM,SAT,"Memphis, TN","San Antonio, TX",4491,6200,62,625,1992-05-01,1090672,1462319,35.0424003601074,-89.9766998291016,29.5337009429932,-98.4698028564453
RNO,PDX,"Reno, NV","Portland, OR",5162,8357,61,444,2009-10-01,419261,2241841,39.4990997314453,-119.767997741699,45.58869934,-122.5979996
MCO,ATL,"Orlando, FL","Atlanta, GA",0,0,1,403,2005-11-01,1939766,4947012,28.4293994903564,-81.3089981079102,33.6366996765137,-84.4281005859375
SEA,ANC,"Seattle, WA","Anchorage, AK",15954,27860,199,1448,1998-11-01,5831556,311411,47.4490013122559,-122.30899810791,61.1744003295898,-149.996002197266
BFI,ANC,"Seattle, WA","Anchorage, AK",0,0,1,1444,2008-10-01,6713274,365790,47.5299987792969,-122.302001953125,61.1744003295898,-149.996002197266
BHM,GSP,"Birmingham, AL","Greenville, SC",0,0,1,276,2002-05-01,1065089,572407,33.56290054,-86.75350189,34.8956985474,-82.2189025879
ATL,PIT,"Atlanta, GA","Pittsburgh, PA",7409,8494,62,526,2009-07-01,5475213,2354957,33.6366996765137,-84.4281005859375,40.49150085,-80.23290253
LAX,CLE,"Los Angeles, CA","Cleveland, OH",1979,2232,18,2053,2005-05-01,25522350,2118249,33.94250107,-118.4079971,41.4117012024,-81.8498001099
FLL,IAH,"Fort Lauderdale, FL","Houston, TX",241,248,2,965,2007-09-01,5465183,5597674,26.0725994110107,-80.152702331543,29.9843997955322,-95.3414001464844
TVC,ORD,"Traverse City, MI","Chicago, IL",3757,4550,91,224,2006-03-01,141103,18797710,44.7414016723633,-85.5821990966797,41.97859955,-87.90480042
STL,DEC,"St. Louis, MO","Decatur, IL",1283,3021,159,110,1992-12-01,2603363,117779,38.7486991882324,-90.370002746582,39.8345985412598,-88.8656997680664
DAY,EWR,"Dayton, OH","Newark, NJ",2996,6283,61,533,1994-08-01,859147,17072218,39.902400970459,-84.2193984985352,40.6925010681152,-74.168701171875
STL,CMH,"St. Louis, MO","Columbus, OH",1019,2600,26,410,1991-02-01,2595543,1430345,38.7486991882324,-90.370002746582,39.9980010986328,-82.8918991088867
MEM,MGM,"Memphis, TN","Montgomery, AL",3016,4494,90,280,2006-12-01,1280666,362660,35.0424003601074,-89.9766998291016,32.30059814,-86.39399719
DTW,CWA,"Detroit, MI","Wausau, WI",1301,2074,61,363,2006-10-01,8969084,128834,42.2123985290527,-83.353401184082,44.7775993347,-89.6668014526
CHA,CVG,"Chattanooga, TN","Cincinnati, OH",33,40,1,278,2002-08-01,487718,2050030,35.0353012084961,-85.2037963867188,39.0488014221,-84.6678009033
PBI,IAH,"West Palm Beach, FL","Houston, TX",2766,2950,59,956,2006-10-01,5466743,5484883,26.6832008361816,-80.0955963134766,29.9843997955322,-95.3414001464844
DFW,SFO,"Dallas, TX","San Francisco, CA",39,149,1,1464,1999-10-01,9703564,8068740,32.896800994873,-97.0380020141602,37.6189994812012,-122.375
MSP,ATL,"Minneapolis, MN","Atlanta, GA",64,70,1,906,2008-11-01,3237612,5385586,44.8819999695,-93.2218017578,33.6366996765137,-84.4281005859375
PIT,MDT,"Pittsburgh, PA","Harrisburg, PA",34,50,1,185,2009-02-01,2354957,536919,40.49150085,-80.23290253,40.1935005188,-76.7633972168
OMA,PHX,"Omaha, NE","Phoenix, AZ",116,226,2,1037,2002-11-01,782384,3496957,41.3031997680664,-95.8940963745117,33.4342994689941,-112.012001037598
DFW,MCI,"Dallas, TX","Kansas City, MO",4398,5258,28,460,2009-07-01,12895230,2067585,32.896800994873,-97.0380020141602,39.2976,-94.713898
GSO,MCO,"Greensboro, NC","Orlando, FL",64,108,1,534,1991-05-01,548939,1274721,36.0978012084961,-79.9373016357422,28.4293994903564,-81.3089981079102
DFW,LIT,"Dallas, TX","Little Rock, AR",127,150,1,304,1995-06-01,8787062,564592,32.896800994873,-97.0380020141602,34.7294006348,-92.2242965698
ATL,BNA,"Atlanta, GA","Nashville, TN",4802,9230,65,214,1991-11-01,3163883,1067021,33.6366996765137,-84.4281005859375,36.1245002746582,-86.6781997680664
PHX,TUS,"Phoenix, AZ","Tucson, AZ",13151,24522,201,109,1990-09-01,2245805,668242,33.4342994689941,-112.012001037598,32.1161003112793,-110.94100189209
LAF,DTW,"Lafayette, IN","Detroit, MI",161,510,15,224,2000-04-01,178844,8914942,40.4123001098633,-86.936897277832,42.2123985290527,-83.353401184082
RDU,DTW,"Raleigh, NC","Detroit, MI",4466,5456,44,501,2004-06-01,916790,8996622,35.8776016235352,-78.7874984741211,42.2123985290527,-83.353401184082
DFW,MEM,"Dallas, TX","Memphis, TN",0,0,17,432,2001-06-01,10709246,1216654,32.896800994873,-97.0380020141602,35.0424003601074,-89.9766998291016
DFW,SEA,"Dallas, TX","Seattle, WA",21034,33432,246,1660,1999-10-01,9703564,5900502,32.896800994873,-97.0380020141602,47.4490013122559,-122.30899810791
SEA,ANC,"Seattle, WA","Anchorage, AK",0,0,1,1449,2003-03-01,6277876,339131,47.4490013122559,-122.30899810791,61.1744003295898,-149.996002197266
LAS,ABQ,"Las Vegas, NV","Albuquerque, NM",3571,4392,36,487,1998-12-01,1161259,692551,36.08010101,-115.1520004,35.0401992797852,-106.609001159668
TUS,PHX,"Tucson, AZ","Phoenix, AZ",1810,8436,57,110,1991-09-01,676729,2302011,32.1161003112793,-110.94100189209,33.4342994689941,-112.012001037598
CLT,DAY,"Charlotte, NC","Dayton, OH",146,392,4,370,1996-01-01,1164160,860650,35.2140007019043,-80.9430999755859,39.902400970459,-84.2193984985352
ATL,PHL,"Atlanta, GA","Philadelphia, PA",4147,4774,31,665,2000-03-01,4281905,11386550,33.6366996765137,-84.4281005859375,39.871898651123,-75.241096496582
SGF,BIL,"Springfield, MO","Billings, MT",0,0,19,981,2007-08-01,419981,149800,37.24570084,-93.38860321,45.8077011108398,-108.542999267578
MEM,TUL,"Memphis, TN","Tulsa, OK",27,154,1,342,2002-03-01,1226669,874815,35.0424003601074,-89.9766998291016,36.1983985900879,-95.8880996704102
MKE,MCO,"Milwaukee, WI","Orlando, FL",2536,4144,28,1066,2003-08-01,1528417,1803474,42.9472007751465,-87.896598815918,28.4293994903564,-81.3089981079102
TPA,CLT,"Tampa, FL","Charlotte, NC",1296,1560,13,508,2005-07-01,2638814,1519448,27.9755001068115,-82.533203125,35.2140007019043,-80.9430999755859
RNO,LAS,"Reno, NV","Las Vegas, NV",2588,3996,27,345,1994-02-01,285459,938611,39.4990997314453,-119.767997741699,36.08010101,-115.1520004
PIT,BDL,"Pittsburgh, PA","Hartford, CT",66,108,1,406,1990-01-01,2468674,1124185,40.49150085,-80.23290253,41.9388999939,-72.6831970215
ABQ,HOU,"Albuquerque, NM","Houston, TX",4974,7672,56,759,2005-05-01,798722,5299567,35.0401992797852,-106.609001159668,29.64539909,-95.27890015
GSO,LGA,"Greensboro, NC","New York, NY",0,0,0,461,2002-11-01,656811,37180170,36.0978012084961,-79.9373016357422,40.77719879,-73.87259674
MEM,MSP,"Memphis, TN","Minneapolis, MN",0,44,1,700,2003-05-01,1238075,3078253,35.0424003601074,-89.9766998291016,44.8819999695,-93.2218017578
RNO,PHX,"Reno, NV","Phoenix, AZ",513,791,7,601,2004-01-01,385049,3723359,39.4990997314453,-119.767997741699,33.4342994689941,-112.012001037598
PIR,ABR,"Pierre, SD","Aberdeen, SD",0,0,5,117,2004-01-01,19459,38931,44.38270187,-100.2860031,45.4491004943848,-98.4217987060547
PHL,MKE,"Philadelphia, PA","Milwaukee, WI",38,59,1,690,2007-11-01,11825356,1544818,39.871898651123,-75.241096496582,42.9472007751465,-87.896598815918
CVG,ROC,"Cincinnati, OH","Rochester, NY",2043,3000,60,461,2004-04-01,2083905,1038019,39.0488014221,-84.6678009033,43.1189002990723,-77.6724014282227
ABE,AVP,"Allentown, PA","Scranton, PA",0,0,19,50,2003-03-01,765926,550507,40.652099609375,-75.440803527832,41.3385009766,-75.7233963013
OMA,MDW,"Omaha, NE","Chicago, IL",10953,14522,106,423,2009-05-01,849517,19161134,41.3031997680664,-95.8940963745117,41.7859992980957,-87.7524032592773
CAK,ORD,"Akron, OH","Chicago, IL",46,64,1,344,2006-02-01,700013,18797710,40.9160995483398,-81.4421997070312,41.97859955,-87.90480042
JFK,TPA,"New York, NY","Tampa, FL",9340,15108,76,1005,2005-10-01,37596228,2638814,40.63980103,-73.77890015,27.9755001068115,-82.533203125
EWR,PBI,"Newark, NJ","West Palm Beach, FL",13182,16638,118,1024,1999-08-01,17431724,4760522,40.6925010681152,-74.168701171875,26.6832008361816,-80.0955963134766
PVD,PIT,"Providence, RI","Pittsburgh, PA",2918,5239,31,467,2001-12-01,1596350,2418223,41.7326011657715,-71.4204025268555,40.49150085,-80.23290253
LAS,ICT,"Las Vegas, NV","Wichita, KS",18,134,1,987,1999-03-01,1217155,575887,36.08010101,-115.1520004,37.6498985290527,-97.4330978393555
JFK,DTW,"New York, NY","Detroit, MI",263,426,3,508,1991-06-01,33749684,8578382,40.63980103,-73.77890015,42.2123985290527,-83.353401184082
ATL,MEM,"Atlanta, GA","Memphis, TN",0,0,4,332,2002-11-01,4555490,1226669,33.6366996765137,-84.4281005859375,35.0424003601074,-89.9766998291016
SAN,EWR,"San Diego, CA","Newark, NJ",3253,5010,29,2425,2002-11-01,2901235,18590085,32.7336006165,-117.190002441,40.6925010681152,-74.168701171875
BNA,BHM,"Nashville, TN","Birmingham, AL",879,1464,12,177,1991-10-01,1067021,968764,36.1245002746582,-86.6781997680664,33.56290054,-86.75350189
CLT,SEA,"Charlotte, NC","Seattle, WA",2612,3120,26,2279,2000-01-01,1340417,6104758,35.2140007019043,-80.9430999755859,47.4490013122559,-122.30899810791
DCA,CLT,"Washington, DC","Charlotte, NC",4929,10374,57,330,1994-10-01,8673930,1108977,38.8521,-77.037697,35.2140007019043,-80.9430999755859
ATL,CAE,"Atlanta, GA","Columbia, SC",0,0,14,191,2006-11-01,5119641,705320,33.6366996765137,-84.4281005859375,33.9388008117676,-81.119499206543
IND,BWI,"Indianapolis, IN","Baltimore, MD",251,548,4,515,2004-12-01,1622935,2638066,39.7173,-86.294403,39.17539978,-76.66829681
PWM,EWR,"Portland, ME","Newark, NJ",35,37,1,284,2005-02-01,511498,18798114,43.64619827,-70.30930328,40.6925010681152,-74.168701171875
OMA,MSP,"Omaha, NE","Minneapolis, MN",3059,5856,48,282,1993-09-01,703536,2654810,41.3031997680664,-95.8940963745117,44.8819999695,-93.2218017578
PHL,LGA,"Philadelphia, PA","New York, NY",777,1450,29,96,2004-03-01,11645752,37494862,39.871898651123,-75.241096496582,40.77719879,-73.87259674
SLC,JAC,"Salt Lake City, UT","Jackson, WY",5327,11648,91,205,1997-05-01,898848,19190,40.7883987426758,-111.977996826172,43.6072998046875,-110.737998962402
PHX,FWA,"Phoenix, AZ","Fort Wayne, IN",0,0,20,1561,2004-06-01,3723359,400163,33.4342994689941,-112.012001037598,40.97850037,-85.19509888
STL,BWI,"St. Louis, MO","Baltimore, MD",3949,4351,30,737,1999-06-01,2663420,2491254,38.7486991882324,-90.370002746582,39.17539978,-76.66829681
MCI,EWR,"Kansas City, MO","Newark, NJ",88,103,1,1093,1997-06-01,1776103,17264316,39.2976,-94.713898,40.6925010681152,-74.168701171875
MSP,ATL,"Minneapolis, MN","Atlanta, GA",5785,6500,65,906,2007-12-01,3204196,5267527,44.8819999695,-93.2218017578,33.6366996765137,-84.4281005859375
CLT,LAX,"Charlotte, NC","Los Angeles, CA",97,144,1,2125,1997-03-01,1194105,23583460,35.2140007019043,-80.9430999755859,33.94250107,-118.4079971
MCO,BOS,"Orlando, FL","Boston, MA",3008,4228,14,1121,1992-12-01,1303224,8227058,28.4293994903564,-81.3089981079102,42.36429977,-71.00520325
PWM,PHL,"Portland, ME","Philadelphia, PA",225,432,4,365,1999-01-01,470292,11042574,43.64619827,-70.30930328,39.871898651123,-75.241096496582
HON,BKX,"Huron, SD","Brookings, SD",70,855,45,70,2005-01-01,15754,28559,44.3852005004883,-98.2285003662109,,
RNO,SNA,"Reno, NV","Santa Ana, CA",2806,3844,31,415,2006-07-01,402383,12713660,39.4990997314453,-119.767997741699,33.67570114,-117.8679962
DCA,BDL,"Washington, DC","Hartford, CT",290,440,4,313,1990-09-01,8270942,1124185,38.8521,-77.037697,41.9388999939,-72.6831970215
SPI,MDW,"Springfield, IL","Chicago, IL",49,190,10,168,1992-12-01,196177,16720340,39.84410095,-89.67790222,41.7859992980957,-87.7524032592773
ANC,JNU,"Anchorage, AK","Juneau, AK",13,17,1,571,2003-03-01,339131,30892,61.1744003295898,-149.996002197266,58.3549995422363,-134.57600402832
DFW,EWR,"Dallas, TX","Newark, NJ",4927,10904,58,1372,1999-04-01,9703564,17431724,32.896800994873,-97.0380020141602,40.6925010681152,-74.168701171875
SFO,MOD,"San Francisco, CA","Modesto, CA",1311,2717,143,78,1990-07-01,7436126,375259,37.6189994812012,-122.375,37.62580109,-120.9540024
ABI,EKO,"Abilene, TX","Elko, NV",64,122,1,1064,2000-12-01,160108,46863,32.4113006592,-99.6819000244,40.8249015808105,-115.791999816895
LGA,CVG,"New York, NY","Cincinnati, OH",4228,5628,31,585,1993-12-01,34026518,1909662,40.77719879,-73.87259674,39.0488014221,-84.6678009033
MKE,IND,"Milwaukee, WI","Indianapolis, IN",2312,4000,80,238,2008-04-01,1550451,1720796,42.9472007751465,-87.896598815918,39.7173,-86.294403
EWR,IAD,"Newark, NJ","Washington, DC",1612,1900,38,213,2006-01-01,18825633,10530024,40.6925010681152,-74.168701171875,38.94449997,-77.45580292
SEA,LAS,"Seattle, WA","Las Vegas, NV",4929,6336,44,866,2005-01-01,6404776,1708846,47.4490013122559,-122.30899810791,36.08010101,-115.1520004
GRR,STL,"Grand Rapids, MI","St. Louis, MO",1047,1890,63,381,1995-12-01,691522,2634959,42.88079834,-85.52279663,38.7486991882324,-90.370002746582
ILN,ROA,"Wilmington, OH","Roanoke, VA",0,0,17,259,2007-08-01,42990,296975,39.427898407,-83.792098999,37.3255004883,-79.975402832
BWI,MCO,"Baltimore, MD","Orlando, FL",8086,10120,92,787,1997-07-01,2474658,1464182,39.17539978,-76.66829681,28.4293994903564,-81.3089981079102
ATL,RDU,"Atlanta, GA","Raleigh, NC",5,97,1,356,2001-07-01,4432950,835602,33.6366996765137,-84.4281005859375,35.8776016235352,-78.7874984741211
MEM,EWR,"Memphis, TN","Newark, NJ",205,250,2,946,2005-01-01,1261429,18798114,35.0424003601074,-89.9766998291016,40.6925010681152,-74.168701171875
DAL,BNA,"Dallas, TX","Nashville, TN",77,137,1,623,2007-09-01,12313304,1524920,32.8470993041992,-96.8517990112305,36.1245002746582,-86.6781997680664
BWI,CVG,"Baltimore, MD","Cincinnati, OH",128,252,1,430,2004-02-01,2638066,2083905,39.17539978,-76.66829681,39.0488014221,-84.6678009033
LAX,MSP,"Los Angeles, CA","Minneapolis, MN",1105,3471,13,1536,1994-02-01,23179000,2690359,33.94250107,-118.4079971,44.8819999695,-93.2218017578
IAH,SMF,"Houston, TX","Sacramento, CA",1622,1736,14,1609,2007-02-01,5597674,2075119,29.9843997955322,-95.3414001464844,38.6954002380371,-121.591003417969
STL,OMA,"St. Louis, MO","Omaha, NE",3848,4658,34,342,2008-10-01,2818688,839265,38.7486991882324,-90.370002746582,41.3031997680664,-95.8940963745117
OAK,EKO,"Oakland, CA","Elko, NV",103,366,3,405,2004-05-01,4143522,44964,37.7212982177734,-122.221000671387,40.8249015808105,-115.791999816895
SHV,DFW,"Shreveport, LA","Dallas, TX",172,296,2,190,2006-10-01,387166,11998822,32.4466018676758,-93.8255996704102,32.896800994873,-97.0380020141602
CID,ORD,"Cedar Rapids, IA","Chicago, IL",4482,7932,54,196,1999-10-01,230764,17655010,41.8847007751465,-91.7108001708984,41.97859955,-87.90480042
SFO,LAX,"San Francisco, CA","Los Angeles, CA",12707,16926,93,337,2002-12-01,8331356,25269954,37.6189994812012,-122.375,33.94250107,-118.4079971
LAX,PHX,"Los Angeles, CA","Phoenix, AZ",992,1736,14,370,2000-02-01,24797900,3278661,33.94250107,-118.4079971,33.4342994689941,-112.012001037598
LAX,MSP,"Los Angeles, CA","Minneapolis, MN",1698,3848,26,1536,2000-10-01,24797900,2981616,33.94250107,-118.4079971,44.8819999695,-93.2218017578
IAD,ORD,"Washington, DC","Chicago, IL",252,432,3,589,1998-11-01,9079986,17529224,38.94449997,-77.45580292,41.97859955,-87.90480042
LGA,IND,"New York, NY","Indianapolis, IN",56,131,1,659,2001-08-01,36980058,1556076,40.77719879,-73.87259674,39.7173,-86.294403
ELM,ELM,"Elmira, NY","Elmira, NY",8,19,1,0,2007-09-01,88058,88058,42.1599006652832,-76.8916015625,42.1599006652832,-76.8916015625
IND,DTW,"Indianapolis, IN","Detroit, MI",3852,8375,67,231,2003-04-01,1600165,8985512,39.7173,-86.294403,42.2123985290527,-83.353401184082
HOU,ELP,"Houston, TX","El Paso, TX",61,122,1,677,2009-04-01,5867489,751296,29.64539909,-95.27890015,31.80719948,-106.3779984
OAK,PDX,"Oakland, CA","Portland, OR",122,140,2,543,2004-12-01,4143522,2052776,37.7212982177734,-122.221000671387,45.58869934,-122.5979996
ORD,PVD,"Chicago, IL","Providence, RI",4155,7808,61,849,1991-05-01,16550288,1511102,41.97859955,-87.90480042,41.7326011657715,-71.4204025268555
EWR,MSP,"Newark, NJ","Minneapolis, MN",3629,4440,30,1008,2006-10-01,18825633,3167666,40.6925010681152,-74.168701171875,44.8819999695,-93.2218017578
MIA,DFW,"Miami, FL","Dallas, TX",4843,6208,32,1121,1990-10-01,8149380,8019250,25.7931995391846,-80.2906036376953,32.896800994873,-97.0380020141602
CLT,MCI,"Charlotte, NC","Kansas City, MO",5676,8092,74,809,1998-02-01,1223835,1795891,35.2140007019043,-80.9430999755859,39.2976,-94.713898
